ind_id,tier_sample,tJX,tW
PT023396456,PT023396456,0.1299821200862032,0.01732490359494107
PT023480600,PT023480600,0.15318778632209062,0.03576677045379751
PT023802667,PT023802667,0.15363820017534183,0.027810200159929518
PT023805915,PT023805915,0.14004461515966876,0.028390224685050158
PT023974753,PT023974753,0.14814400675542408,0.02640304980422306
PT024513869,PT024513869,0.14358160202571169,0.01692468422093772
PT123621789,PT123621789,0.17750352398599384,0.02779548735236416
PT123769875,PT123769875,0.13073105560962472,0.02319710594809365
PT123799896,PT123799896,0.12372352897048194,0.033252913016821005
PT124148445,PT124148445,0.13578913553187505,0.014433032565336162
PT124515292,PT124515292,0.10175770883552249,0.02553665898285345
PT133012645,PT133012645,0.1286700274990776,0.039887754630512674
PT223476701,PT223476701,0.15966712889722776,0.020493301882940816
PT223767729,PT223767729,0.14666983795643107,0.01018434060440875
PT223802666,PT223802666,0.1460446188286042,0.02697525604198446
PT224513004,PT224513004,0.11580292389029234,0.027170818178894232
PT224957247,PT224957247,0.14611190245307878,0.04207882851768607
PT323474933,PT323474933,0.1308433569923276,0.03818945113161659
PT324096615,PT324096615,0.11180309631392607,0.020591384276474493
PT423396430,PT423396430,0.14856922094889047,0.019936285711929055
PT423620929,PT423620929,0.1420397276966964,0.03662268796131233
PT423621858,PT423621858,0.11402294071366481,0.021946835690128987
PT424513003,PT424513003,0.10374136562441051,0.03278766477603703
PT424986494,PT424986494,0.1166361132834656,0.012793635638707165
PT523085848,PT523085848,0.14096135653373904,0.030896291091612033
PT523583719,PT523583719,0.1857061897523596,0.020206940604706018
PT523769910,PT523769910,0.10542440903547344,0.02666205014543666
PT523799875,PT523799875,0.12379854972517344,0.03284016392573218
PT524015264,PT524015264,0.11227650922005614,0.023540253329947067
PT524148448,PT524148448,0.13426375044873035,0.028336813767455934
PT524914685,PT524914685,0.13364401356400968,0.02249167910257287
PT524987172,PT524987172,0.19878312376398477,0.018634838751611222
PT623583704,PT623583704,0.1616817475668608,0.02201389943104449
PT623806020,PT623806020,0.11560449032149414,0.028843404779979258
PT623806044,PT623806044,0.11700169921746838,0.03661079299894301
PT624096609,PT624096609,0.1044976038479938,0.03514623429210081
PT624513002,PT624513002,0.11814514531571593,0.021814798539199952
PT624987181,PT624987181,0.1161407339389332,0.02620741841783144
PT633012794,PT633012794,0.20091874493580558,0.017890520365865654
PT633027441,PT633027441,0.1214206376296907,0.031344834627252745
PT723474950,PT723474950,0.16504192935945208,0.02731839013547285
PT723658015,PT723658015,0.15050856689964903,0.02571581110033804
PT723767731,PT723767731,0.13670642167536745,0.022609384522168065
PT723805945,PT723805945,0.19147055441312838,0.04329117023343539
PT724513856,PT724513856,0.09971466610374366,0.026913099609337916
PT733027431,PT733027431,0.11367597219203596,0.023883434709075536
PT823583722,PT823583722,0.10340319519239226,0.026761575413928006
PT824914674,PT824914674,0.10088953442948413,0.03038202230491339
PT923583699,PT923583699,0.15737232486118657,0.03134421808018976
PT923712082,PT923712082,0.13626298375664914,0.02349442106695459
PT923966027,PT923966027,0.13082336903726688,0.008586652706078784
PT924854279,PT924854279,0.11316514864037933,0.04144225420952161
